Category,CSS Variable,Light Mode Default,Dark Mode Default,What It Controls
Gray Scale,--gray-50,#f8f8f8,#f8f8f8,"Highlights, disabled bg, row hover, subtle accent"
Gray Scale,--gray-100,#f3f3f3,#f3f3f3,"Input field backgrounds, default button bg, sidebar selected"
Gray Scale,--gray-200,#ededed,#ededed,"All standard borders, table borders, scrollbar track"
Gray Scale,--gray-300,#e2e2e2,#e2e2e2,"Strong borders, button hover bg, switch bg"
Gray Scale,--gray-400,#c7c7c7,#c7c7c7,"Scrollbar thumb, dark gray backgrounds"
Gray Scale,--gray-500,#999999,#999999,"Placeholder text, muted icons, checkbox border"
Gray Scale,--gray-600,#7c7c7c,#7c7c7c,"Light text, disabled text color"
Gray Scale,--gray-700,#525252,#383838,"Body text (--text-muted) — darker in dark mode for borders/surfaces"
Gray Scale,--gray-800,#383838,#232323,"Emphasized text, icon stroke — darker in dark mode for control-bg"
Gray Scale,--gray-900,#171717,#171717,"Headings, feeds --primary-color and --btn-primary if not overridden"
Primary,--primary,#171717,#171717,"Checkbox checked bg, progress bars — hardcoded, not a var() reference"
Primary,--primary-color,#171717,#171717,"Primary color used in various UI contexts"
Primary,--btn-primary,#171717,#e2e2e2,"Primary button background — FLIPPED to light in dark mode"
Primary,--border-primary,#171717,#ededed,"Border on primary/focused elements — FLIPPED to light in dark mode"
Backgrounds,--bg-color,white,#171717,"Page background behind cards — FLIPPED to near-black"
Backgrounds,--fg-color,white,#171717,"Card, modal, popover backgrounds — FLIPPED to near-black"
Backgrounds,--navbar-bg,white,#171717,"Top navigation bar background — FLIPPED to near-black"
Backgrounds,--modal-bg,white,#171717,"Modal dialog background — FLIPPED to near-black"
Backgrounds,--popover-bg,white,#171717,"Popover/dropdown background — FLIPPED to near-black"
Text,--heading-color,#171717,#f8f8f8,"Page and section headings — FLIPPED to near-white"
Text,--text-color,#383838,#f8f8f8,"Emphasized text and values — FLIPPED to near-white"
Text,--text-muted,#525252,#c7c7c7,"Most body text on Desk — FLIPPED to lighter gray"
Text,--text-light,#7c7c7c,#e2e2e2,"Light/secondary text — FLIPPED to lighter gray"
Text,--disabled-text-color,#7c7c7c,#c7c7c7,"Disabled field text — FLIPPED to lighter gray"
Derived,--control-bg,#f3f3f3,#232323,"Input field backgrounds — FLIPPED to dark"
Derived,--btn-default-bg,#f3f3f3,#232323,"Default button backgrounds — FLIPPED to dark"
Derived,--subtle-fg,#f3f3f3,#232323,"Card subtle backgrounds — FLIPPED to dark"
Derived,--sidebar-select-color,#f3f3f3,#232323,"Sidebar selected item highlight — FLIPPED to dark"
Derived,--border-color,#ededed,#232323,"All standard borders — FLIPPED to subtle dark"
Derived,--table-border-color,#ededed,#232323,"Grid and table borders — FLIPPED to subtle dark"
Derived,--dark-border-color,#e2e2e2,#7c7c7c,"Emphasized/strong borders — medium gray in dark mode"
Derived,--btn-default-hover-bg,#e2e2e2,#383838,"Default button hover state — FLIPPED to dark"
Derived,--scrollbar-thumb-color,#c7c7c7,#c7c7c7,"Scrollbar thumb/handle"
Derived,--highlight-color,#f8f8f8,#383838,"Row hover background in lists — FLIPPED to dark"
Derived,--subtle-accent,#f8f8f8,#383838,"Subtle accent backgrounds — FLIPPED to dark"
Derived,--disabled-control-bg,#f8f8f8,#232323,"Disabled input field backgrounds — FLIPPED to dark"
Derived,--icon-stroke,#383838,#e2e2e2,"Icon/SVG stroke colors — FLIPPED to light"
Blue Scale,--blue-50,#f7fbfd,#f7fbfd,"Info alert backgrounds"
Blue Scale,--blue-100,#edf6fd,#edf6fd,"Info alert lighter backgrounds"
Blue Scale,--blue-200,#e3f1fd,#e3f1fd,"Focus ring color"
Blue Scale,--blue-300,#c9e7fc,#c9e7fc,"Blue indicator pills"
Blue Scale,--blue-400,#70b6f0,#70b6f0,"Blue indicator pills"
Blue Scale,--blue-500,#0289f7,#0289f7,"Blue indicator pills, links"
Blue Scale,--blue-600,#007be0,#007be0,"Blue indicator active states"
Blue Scale,--blue-700,#0070cc,#0070cc,"Blue indicator dark states"
Blue Scale,--blue-800,#005ca3,#005ca3,"Blue scale dark"
Blue Scale,--blue-900,#004880,#004880,"Blue scale darkest"
Semantic,--green,varies,varies,"Success indicators, green pills"
Semantic,--red,varies,varies,"Danger/error indicators, red pills"
Semantic,--orange,varies,varies,"Warning indicators, orange pills"
Semantic,--yellow,varies,varies,"Warning indicators, yellow pills"
