Category,Sub-Category,Class Pattern,Example,CSS Property,Notes,For Dummies – How to Use & What It Does,Frappe UI Default?,Frappe UI Notes
Background,Solid Color,bg-{color}-{shade},bg-blue-500,background-color: #3b82f6,Shades: 50 100 200 300 400 500 600 700 800 900 950,"Slap a colored background on any element. Use it for buttons, cards, banners, or highlighting sections. Lower shades (50-200) = soft pastels, higher shades (700-950) = deep/dark tones.",YES,"Frappe UI replaces the full color palette with its own (gray, blue, green, red, orange, yellow, teal, violet, cyan, amber, pink, purple + white/black overlays). Standard Tailwind colors like slate, emerald, indigo, etc. are NOT available. Also adds semantic bg-surface-* colors."
Background,Gradient Direction,bg-gradient-to-{dir},bg-gradient-to-b,background-image: linear-gradient(to bottom ...),Directions: t b l r tr tl br bl,"Sets which direction your color gradient flows — top to bottom, left to right, diagonally, etc. Pair with from-/via-/to- colors to make smooth color transitions on hero sections or buttons.",,
Background,Gradient From,from-{color}-{shade},from-blue-500,--tw-gradient-from: #3b82f6,Starting color of gradient,Picks the starting color of a gradient. Think of it as the color on one end of a rainbow stripe. Combine with bg-gradient-to-* and a to- color.,YES,"Frappe UI replaces the full color palette with its own (gray, blue, green, red, orange, yellow, teal, violet, cyan, amber, pink, purple + white/black overlays). Standard Tailwind colors like slate, emerald, indigo, etc. are NOT available. Also adds semantic bg-surface-* colors."
Background,Gradient Via,via-{color}-{shade},via-purple-500,--tw-gradient-via: #a855f7,Middle color of gradient (optional),"Adds an optional middle color to your gradient so it blends through three colors instead of two. Great for richer, more eye-catching gradients.",YES,"Frappe UI replaces the full color palette with its own (gray, blue, green, red, orange, yellow, teal, violet, cyan, amber, pink, purple + white/black overlays). Standard Tailwind colors like slate, emerald, indigo, etc. are NOT available. Also adds semantic bg-surface-* colors."
Background,Gradient To,to-{color}-{shade},to-indigo-700,--tw-gradient-to: #4338ca,Ending color of gradient,"Picks the ending color of a gradient — the color on the opposite end from 'from'. Without this, the gradient fades to transparent.",YES,"Frappe UI replaces the full color palette with its own (gray, blue, green, red, orange, yellow, teal, violet, cyan, amber, pink, purple + white/black overlays). Standard Tailwind colors like slate, emerald, indigo, etc. are NOT available. Also adds semantic bg-surface-* colors."
Background,Opacity,bg-opacity-{value},bg-opacity-50,--tw-bg-opacity: 0.5,Values: 0 5 10 20 25 30 40 50 60 70 75 80 90 95 100,"Makes the background see-through. 0 = invisible, 100 = fully solid. Use it for overlay effects, frosted glass looks, or subtle tinted backgrounds.",YES,"Frappe UI replaces the full color palette with its own (gray, blue, green, red, orange, yellow, teal, violet, cyan, amber, pink, purple + white/black overlays). Standard Tailwind colors like slate, emerald, indigo, etc. are NOT available. Also adds semantic bg-surface-* colors."
Background,Image,bg-none | bg-gradient-to-*,bg-none,background-image: none,Use bg-gradient-to-* for gradients,Controls whether a background image is shown or not. Use bg-none to remove it. Mostly you'll use gradient classes instead.,,
Background,Size,bg-auto | bg-cover | bg-contain,bg-cover,background-size: cover,For background images,"Controls how a background image fills its container — cover stretches to fill, contain fits the whole image inside, auto keeps original size. Great for hero images and banners.",,
Background,Position,bg-center | bg-top | bg-bottom etc,bg-center,background-position: center,Also: bg-left bg-right bg-left-top etc,"Anchors where a background image sits inside its container — center it, pin it to the top, etc. Use when you want to control which part of a big image is visible.",,
Background,Repeat,bg-repeat | bg-no-repeat | bg-repeat-x,bg-no-repeat,background-repeat: no-repeat,Also: bg-repeat-y bg-repeat-round bg-repeat-space,"Controls whether a background image tiles/repeats. Use bg-no-repeat for a single image, or let it tile for patterns and textures.",,
Text,Color,text-{color}-{shade},text-gray-700,color: #374151,Same color/shade scale as backgrounds,"Changes the color of your text. Use lighter shades (300-400) for secondary text, medium (500-600) for body text, and dark (700-900) for headings.",YES,"Frappe UI replaces the color palette AND adds semantic text-ink-* colors (ink-gray-1 through ink-gray-9, ink-blue-*, ink-red-*, etc.). Standard Tailwind text-slate-*, text-emerald-*, etc. are NOT available."
